2022-06-24 15:38:49,474 | INFO | success scheduler job
2022-06-24 15:39:09,536 | INFO | success scheduler job
2022-06-24 15:39:16,260 | INFO | PUT http://127.0.0.1:8001/job_tasks/update_job
2022-06-24 15:39:16,262 | INFO | Status code: 422
2022-06-24 15:39:29,589 | INFO | success scheduler job
2022-06-24 15:39:49,645 | INFO | success scheduler job
2022-06-24 15:40:09,698 | INFO | success scheduler job
2022-06-24 15:40:29,755 | INFO | success scheduler job
2022-06-24 15:40:49,818 | INFO | success scheduler job
2022-06-24 15:41:09,877 | INFO | success scheduler job
2022-06-24 15:41:29,934 | INFO | success scheduler job
2022-06-24 15:41:49,963 | ERROR | sorry, but there is a problem with the server: bad status 500
2022-06-24 15:42:09,984 | ERROR | sorry, but there is a problem with the server: bad status 500
2022-06-24 15:42:30,098 | INFO | success scheduler job
2022-06-24 15:42:50,180 | INFO | success scheduler job
2022-06-24 15:43:10,240 | INFO | success scheduler job
2022-06-24 15:43:30,295 | INFO | success scheduler job
2022-06-24 15:43:50,359 | INFO | success scheduler job
2022-06-24 15:44:10,414 | INFO | success scheduler job
2022-06-24 15:44:30,476 | INFO | success scheduler job
2022-06-24 15:44:50,528 | INFO | success scheduler job
2022-06-24 15:45:10,592 | INFO | success scheduler job
2022-06-24 15:45:30,649 | INFO | success scheduler job
2022-06-24 15:45:50,702 | INFO | success scheduler job
2022-06-24 15:46:10,769 | INFO | success scheduler job
2022-06-24 15:46:30,836 | INFO | success scheduler job
2022-06-24 15:46:50,888 | INFO | success scheduler job
2022-06-24 15:47:11,018 | INFO | success scheduler job
2022-06-24 15:47:31,114 | INFO | success scheduler job
2022-06-24 15:47:51,195 | INFO | success scheduler job
2022-06-24 15:48:11,282 | INFO | success scheduler job
2022-06-24 15:48:31,350 | INFO | success scheduler job
2022-06-24 15:48:51,417 | INFO | success scheduler job
2022-06-24 15:49:11,480 | INFO | success scheduler job
2022-06-24 15:49:31,536 | INFO | success scheduler job
2022-06-24 15:49:51,597 | INFO | success scheduler job
2022-06-24 15:50:11,660 | INFO | success scheduler job
2022-06-24 15:50:31,711 | INFO | success scheduler job
2022-06-24 15:50:51,765 | INFO | success scheduler job
2022-06-24 15:51:11,824 | INFO | success scheduler job
2022-06-24 15:51:31,876 | INFO | success scheduler job
2022-06-24 15:51:51,974 | INFO | success scheduler job
2022-06-24 16:04:09,471 | INFO | success scheduler job
2022-06-24 16:16:10,103 | INFO | success scheduler job
2022-06-24 16:28:10,925 | INFO | success scheduler job
2022-06-24 16:40:11,575 | INFO | success scheduler job
2022-06-24 16:52:12,217 | INFO | success scheduler job
2022-06-24 17:04:12,864 | INFO | success scheduler job
